COUNTRY,DEPARTMENT,SALESFORCE_CODE,HCP_ID,REP_ID,PRODUCT,INDICATION,TERRITORY_ID,LOAD_DT,EPH_REFERENCE_ID,EPH_ENTERPRISE_ID,ENHANCED_ENTERPRISE_ID
JP,RETAIL,JPCL,ENTID_12576083,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_12576083,ENTID_130302348,ENTID_130302348
JP,RETAIL,JPHY,ENTID_14291201,00580000004MbNrAAK,JP_708127-420004,,JP66046,2025-11-03,ENTID_14291201,ENTID_132497284,
JP,RETAIL,JPHY,ENTID_12552615,00580000004M365AAC,JP_708127-420004,,JP65774,2025-11-03,ENTID_12552615,ENTID_130276918,ENTID_130276918
JP,RETAIL,JPCL,ENTID_98178586,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_98178586,ENTID_131823663,
JP,RETAIL,JPHY,ENTID_47420813,00580000004M36aAAC,JP_708127-420004,,JP66073,2025-11-03,ENTID_47420813,ENTID_130913148,
JP,RETAIL,JPHY,ENTID_12509553,00580000004M3JWAA0,JP_708127-420004,,JP65854,2025-11-03,ENTID_12509553,ENTID_130237686,ENTID_130237686
JP,RETAIL,JPHY,ENTID_13910057,0053x00000FR2SKAA1,JP_708127-420004,,JP66039,2025-11-03,ENTID_13910057,ENTID_132012682,
JP,RETAIL,JPCL,ENTID_12581402,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_12581402,ENTID_130307060,ENTID_130307060
JP,RETAIL,JPHY,ENTID_13756649,00580000004M3HgAAK,JP_708127-420004,,JP66299,2025-11-03,ENTID_13756649,ENTID_131807314,
JP,RETAIL,JPHY,ENTID_12656232,00580000004M3LMAA0,JP_708127-420004,,JP65861,2025-11-03,ENTID_12656232,ENTID_130383499,ENTID_130383499
JP,RETAIL,JPHZ,ENTID_12661477,00580000004M3RPAA0,JP_708127-420004,,JP91046,2025-11-03,ENTID_12661477,ENTID_130386529,ENTID_130386529
JP,RETAIL,JPCL,ENTID_13602720,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_13602720,ENTID_131620669,
JP,RETAIL,JPHY,ENTID_13711018,00580000004M3GHAA0,JP_708127-420004,,JP66300,2025-11-03,ENTID_13711018,ENTID_131758730,
JP,RETAIL,JPHY,ENTID_13752438,00580000006a3JsAAI,JP_708127-420004,,JP65869,2025-11-03,ENTID_13752438,ENTID_131803458,
JP,RETAIL,JPHY,ENTID_14045353,00580000004M39fAAC,JP_708127-420004,,JP66042,2025-11-03,ENTID_14045353,ENTID_131237144,
JP,RETAIL,JPHY,ENTID_95643542,00580000004M3GHAA0,JP_708127-420004,,JP66300,2025-11-03,ENTID_95643542,ENTID_131823168,
JP,RETAIL,JPCL,ENTID_13718053,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_13718053,ENTID_131766928,
JP,RETAIL,JPHY,ENTID_12743403,00580000004MHFaAAO,JP_708127-420004,,JP65971,2025-11-03,ENTID_12743403,ENTID_130469656,ENTID_130469656
JP,RETAIL,JPHY,ENTID_13843689,00580000004M3VOAA0,JP_708127-420004,,JP65880,2025-11-03,ENTID_13843689,ENTID_131922364,
JP,RETAIL,JPCL,ENTID_12606564,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_12606564,ENTID_130333047,ENTID_130333047
JP,RETAIL,JPHY,ENTID_12699553,005VS0000017OpEYAU,JP_708127-420004,,JP65841,2025-11-03,ENTID_12699553,ENTID_130425741,ENTID_130425741
JP,RETAIL,JPHY,ENTID_13577652,00580000004M3GXAA0,JP_708127-420004,,JP65770,2025-11-03,ENTID_13577652,ENTID_131586602,
JP,RETAIL,JPHY,ENTID_12538892,00580000005lyeHAAQ,JP_708127-420004,,JP65759,2025-11-03,ENTID_12538892,ENTID_130265304,ENTID_130265304
JP,RETAIL,JPHY,ENTID_13478650,00580000004M3SbAAK,JP_708127-420004,,JP65758,2025-11-03,ENTID_13478650,ENTID_131461340,
JP,RETAIL,JPCL,ENTID_12700137,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12700137,ENTID_130426295,ENTID_130426295
JP,RETAIL,JPHY,ENTID_12669569,0053x00000FR2SKAA1,JP_708127-420004,,JP66039,2025-11-03,ENTID_12669569,ENTID_130395871,ENTID_130395871
JP,RETAIL,JPHY,ENTID_14192835,00580000004M35XAAS,JP_708127-420004,,JP66048,2025-11-03,ENTID_14192835,ENTID_132373743,
JP,RETAIL,JPCL,ENTID_13899846,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_13899846,ENTID_132001624,
JP,RETAIL,JPHY,ENTID_76515197,00580000004M35SAAS,JP_708127-420004,,JP65765,2025-11-03,ENTID_76515197,ENTID_130557441,ENTID_130557441
JP,RETAIL,JPHY,ENTID_12648231,00580000004M3LMAA0,JP_708127-420004,,JP65861,2025-11-03,ENTID_12648231,ENTID_130374818,ENTID_130374818
JP,RETAIL,JPHY,ENTID_77162774,00580000004M36EAAS,JP_708127-420004,,JP66050,2025-11-03,ENTID_77162774,ENTID_130559806,ENTID_130559806
JP,RETAIL,JPHY,ENTID_12637878,00580000004M359AAC,JP_708127-420004,,JP65756,2025-11-03,ENTID_12637878,ENTID_130363850,ENTID_130363850
JP,RETAIL,JPCL,ENTID_12646351,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12646351,ENTID_130373209,ENTID_130373209
JP,RETAIL,JPCL,ENTID_12524481,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_12524481,ENTID_130251593,ENTID_130251593
JP,RETAIL,JPHY,ENTID_13981766,00580000004M3APAA0,JP_708127-420004,,JP65948,2025-11-03,ENTID_13981766,ENTID_132104329,
JP,RETAIL,JPCL,ENTID_12486335,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12486335,ENTID_130214221,ENTID_130214221
JP,RETAIL,JPHZ,ENTID_13750072,00580000004M3RPAA0,JP_708127-420004,,JP91046,2025-11-03,ENTID_13750072,ENTID_131801974,
JP,RETAIL,JPHY,ENTID_115674542,00580000004M38tAAC,JP_708127-420004,,JP65947,2025-11-03,ENTID_115674542,ENTID_131231510,
JP,RETAIL,JPHY,ENTID_12795685,00580000004M35SAAS,JP_708127-420004,,JP65765,2025-11-03,ENTID_12795685,ENTID_130520727,ENTID_130520727
JP,RETAIL,JPHY,ENTID_12783894,00580000004M3FPAA0,JP_708127-420004,,JP65863,2025-11-03,ENTID_12783894,ENTID_130510910,ENTID_130510910
JP,RETAIL,JPHY,ENTID_12685233,00580000004M3CCAA0,JP_708127-420004,,JP65851,2025-11-03,ENTID_12685233,ENTID_130410434,ENTID_130410434
JP,RETAIL,JPHY,ENTID_12627496,005VS0000017OpEYAU,JP_708127-420004,,JP65841,2025-11-03,ENTID_12627496,ENTID_130353306,ENTID_130353306
JP,RETAIL,JPHY,ENTID_12553637,00580000004M36EAAS,JP_708127-420004,,JP66050,2025-11-03,ENTID_12553637,ENTID_130277582,ENTID_130277582
JP,RETAIL,JPHY,ENTID_76442488,00580000004M3JyAAK,JP_708127-420004,,JP65776,2025-11-03,ENTID_76442488,ENTID_131726259,
JP,RETAIL,JPHY,ENTID_12615214,00580000004M3VJAA0,JP_708127-420004,,JP66076,2025-11-03,ENTID_12615214,ENTID_130341468,ENTID_130341468
JP,RETAIL,JPHY,ENTID_45067846,0053x00000IINQYAA5,JP_708127-420004,,JP65873,2025-11-03,ENTID_45067846,ENTID_130553562,ENTID_130553562
JP,RETAIL,JPCL,ENTID_12676425,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12676425,ENTID_130403019,ENTID_130403019
JP,RETAIL,JPHY,ENTID_12746428,00580000004M37tAAC,JP_708127-420004,,JP65959,2025-11-03,ENTID_12746428,ENTID_130473241,ENTID_130473241
JP,RETAIL,JPCL,ENTID_75473966,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_75473966,ENTID_131821033,
JP,RETAIL,JPCL,ENTID_14075165,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_14075165,ENTID_132248952,
JP,RETAIL,JPHY,ENTID_12665364,00580000004M347AAC,JP_708127-420004,,JP65767,2025-11-03,ENTID_12665364,ENTID_130391776,ENTID_130391776
JP,RETAIL,JPCL,ENTID_12601583,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_12601583,ENTID_130327184,ENTID_130327184
JP,RETAIL,JPHY,ENTID_12692637,00580000004M3QcAAK,JP_708127-420004,,JP65850,2025-11-03,ENTID_12692637,ENTID_130418339,ENTID_130418339
JP,RETAIL,JPHY,ENTID_12662215,005VS0000017OpDYAU,JP_708127-420004,,JP65969,2025-11-03,ENTID_12662215,ENTID_130389283,ENTID_130389283
JP,RETAIL,JPHY,ENTID_12470437,00580000006a3JvAAI,JP_708127-420004,,JP65958,2025-11-03,ENTID_12470437,ENTID_130197331,ENTID_130197331
JP,RETAIL,JPCL,ENTID_12548352,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_12548352,ENTID_130273613,ENTID_130273613
JP,RETAIL,JPCL,ENTID_14135911,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_14135911,ENTID_132322355,
JP,RETAIL,JPCL,ENTID_13838608,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_13838608,ENTID_131918529,
JP,RETAIL,JPCL,ENTID_12666376,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_12666376,ENTID_130393207,ENTID_130393207
JP,RETAIL,JPCL,ENTID_105459400,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_105459400,ENTID_130032442,ENTID_130032442
JP,RETAIL,JPHY,ENTID_95526390,00580000004nLX1AAM,JP_708127-420004,,JP65844,2025-11-03,ENTID_95526390,ENTID_130568640,ENTID_130568640
JP,RETAIL,JPHY,ENTID_12544700,00580000004M39fAAC,JP_708127-420004,,JP66042,2025-11-03,ENTID_12544700,ENTID_130271355,ENTID_130271355
JP,RETAIL,JPHY,ENTID_12687186,0053x00000FRCKmAAP,JP_708127-420004,,JP66054,2025-11-03,ENTID_12687186,ENTID_130413615,ENTID_130413615
JP,RETAIL,JPHY,ENTID_13757380,00580000004M3JWAA0,JP_708127-420004,,JP65854,2025-11-03,ENTID_13757380,ENTID_131809840,
JP,RETAIL,JPCL,ENTID_12672515,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_12672515,ENTID_130397947,ENTID_130397947
JP,RETAIL,JPHY,ENTID_12789131,0053x00000FEuCqAAL,JP_708127-420004,,JP65761,2025-11-03,ENTID_12789131,ENTID_130515187,ENTID_130515187
JP,RETAIL,JPHY,ENTID_12715946,0053x00000FR2S7AAL,JP_708127-420004,,JP65865,2025-11-03,ENTID_12715946,ENTID_130441407,ENTID_130441407
JP,RETAIL,JPHY,ENTID_12658656,00580000004M3HyAAK,JP_708127-420004,,JP65862,2025-11-03,ENTID_12658656,ENTID_130384817,ENTID_130384817
JP,RETAIL,JPCL,ENTID_12494216,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12494216,ENTID_130221665,ENTID_130221665
JP,RETAIL,JPCL,ENTID_12637514,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12637514,ENTID_130362715,ENTID_130362715
JP,RETAIL,JPHY,ENTID_12693996,0053x00000FR2S9AAL,JP_708127-420004,,JP65941,2025-11-03,ENTID_12693996,ENTID_130420208,ENTID_130420208
JP,RETAIL,JPHY,ENTID_12494729,00580000004MeV3AAK,JP_708127-420004,,JP66065,2025-11-03,ENTID_12494729,ENTID_130221112,ENTID_130221112
JP,RETAIL,JPHY,ENTID_13921536,00580000004M3A9AAK,JP_708127-420004,,JP65845,2025-11-03,ENTID_13921536,ENTID_132029521,
JP,RETAIL,JPHY,ENTID_12570128,005VS0000017OpCYAU,JP_708127-420004,,JP66063,2025-11-03,ENTID_12570128,ENTID_130296954,ENTID_130296954
JP,RETAIL,JPCL,ENTID_12470551,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_12470551,ENTID_130195849,ENTID_130195849
JP,RETAIL,JPCL,ENTID_14298777,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_14298777,ENTID_132506445,
JP,RETAIL,JPCL,ENTID_14365429,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_14365429,ENTID_132570321,
JP,RETAIL,JPHY,ENTID_12800323,0053x00000FokEGAAZ,JP_708127-420004,,JP65867,2025-11-03,ENTID_12800323,ENTID_130528047,ENTID_130528047
JP,RETAIL,JPCL,ENTID_14060624,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_14060624,ENTID_132207712,
