customer_id,apims_id,product_name,product_indication_id,src_systm_cd,dgtl_dtl_only_id,activity_date,action
ENTID_108610947,708127,EBG,420004,M3,202506091039666137,2025-06-09,Delivered
ENTID_108611186,708127,EBG,420004,M3,202503131227959414,2025-03-14,Delivered
ENTID_108611325,708127,EBG,420004,M3,202501201225433946,2025-01-20,Delivered
ENTID_108611644,708127,EBG,420004,M3,202511061043064948,2025-11-06,Delivered
ENTID_108611685,708127,EBG,420004,M3,202505261122874031,2025-05-26,Clicked
ENTID_108611685,708127,EBG,420004,M3,202505261122874031,2025-05-26,Opened
ENTID_112348688,708127,EBG,420004,M3,202509161009117295,2025-09-16,Clicked
ENTID_112348688,708127,EBG,420004,M3,202509161009117295,2025-09-16,Delivered
ENTID_113767567,708127,EBG,420004,M3,202508181041698660,2025-08-18,Delivered
ENTID_113770454,708127,EBG,420004,M3,202507101140737814,2025-07-10,Delivered
ENTID_113770454,708127,EBG,420004,M3,202509031229744228,2025-09-04,Delivered
ENTID_113773371,708127,EBG,420004,M3,202509161009117296,2025-09-20,Opened
ENTID_115666114,708127,EBG,420004,M3,202507101140735236,2025-09-06,Opened
ENTID_115666114,708127,EBG,420004,M3,202509161009114022,2025-09-16,Delivered
ENTID_12355439,708127,EBG,420004,M3,202510060958964601,2025-10-06,Delivered
ENTID_12408676,708127,EBG,420004,M3,202503111010020659,2025-03-11,Delivered
ENTID_12410877,708127,EBG,420004,M3,202507141032572517,2025-07-14,Delivered
ENTID_12422630,708127,EBG,420004,M3,202506161634926960,2025-06-17,Delivered
ENTID_12423256,708127,EBG,420004,M3,202502171034701117,2025-02-17,Delivered
ENTID_12425307,708127,EBG,420004,M3,202508011141992108,2025-10-12,Opened
ENTID_12425640,708127,EBG,420004,M3,202508011141993894,2025-08-05,Opened
ENTID_12425640,708127,EBG,420004,M3,202511061043065173,2025-11-06,Delivered
ENTID_12426412,708127,EBG,420004,M3,202506161634930594,2025-06-17,Delivered
ENTID_12426412,708127,EBG,420004,M3,202507221233481160,2025-07-22,Delivered
ENTID_12427444,708127,EBG,420004,M3,202509031229742128,2025-09-05,Opened
ENTID_12427444,708127,EBG,420004,M3-Quiz,15423_01135025,2025-06-13,Clicked
ENTID_12427446,708127,EBG,420004,M3,202509161009115473,2025-09-16,Delivered
ENTID_12427792,708127,EBG,420004,M3,202508181041694821,2025-08-18,Delivered
ENTID_12430153,708127,EBG,420004,M3,202503171053977103,2025-03-18,Delivered
ENTID_12430851,708127,EBG,420004,M3,202503131227957229,2025-03-17,Opened
ENTID_12431659,708127,EBG,420004,M3,202504111812681175,2025-04-14,Delivered
ENTID_12431659,708127,EBG,420004,M3,202510060958965795,2025-10-06,Delivered
ENTID_12432515,708127,EBG,420004,M3-OPD,14802_01140019,2024-12-06,Clicked
