conference_id,customer_id,product_id,indication_id,channel,action,ACTVY_STRT_DT
VEM-JP-11665,ENTID_12677817,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-11053,ENTID_12587346,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-16139,ENTID_105458607,708127,420004,National(Web),Attended,2025-10-23
VEM-JP-9387,ENTID_12665274,708127,420004,National(Web),Attended,2025-05-14
VEM-JP-11127,ENTID_12659835,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-15593,ENTID_12792739,708127,420004,National(Web),Attended,2025-10-06
VEM-JP-4298,ENTID_12474588,708127,420004,National(Web),Attended,2024-12-10
VEM-JP-11053,ENTID_12583765,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-11478,ENTID_12740697,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-11665,ENTID_12740777,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-11052,ENTID_12531254,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-10353,ENTID_12465565,708127,420004,National(Web),Attended,2025-03-25
VEM-JP-11665,ENTID_12486408,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-7885,ENTID_12807605,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-6160,ENTID_87471015,708127,420004,National(Web),Attended,2024-12-23
VEM-JP-4298,ENTID_12606266,708127,420004,National(Web),Attended,2024-12-10
VEM-JP-4244,ENTID_12681036,708127,420004,National(Web),Attended,2024-11-28
VEM-JP-7893,ENTID_12672005,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-15708,ENTID_12660692,708127,420004,National(Web),Attended,2025-08-05
VEM-JP-6160,ENTID_12772450,708127,420004,National(Web),Attended,2024-12-23
VEM-JP-8358,ENTID_12587664,708127,420004,National(Web),Attended,2025-04-16
VEM-JP-11053,ENTID_12607293,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7887,ENTID_12687690,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-2727,ENTID_12495998,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-15085,ENTID_12624479,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-11878,ENTID_12604327,708127,420004,National(Web),Attended,2025-05-09
VEM-JP-11078,ENTID_12570569,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-7887,ENTID_12675463,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-10214,ENTID_95526840,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-11053,ENTID_12507614,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7171,ENTID_12688156,708127,420004,National(P2P),Attended,2025-11-09
VEM-JP-10214,ENTID_12775853,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-13126,ENTID_12612856,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-13676,ENTID_12556499,708127,420004,National(Web),Attended,2025-06-26
VEM-JP-7889,ENTID_12709974,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-10353,ENTID_12619487,708127,420004,National(Web),Attended,2025-03-25
VEM-JP-9388,ENTID_12638083,708127,420004,National(Web),Attended,2025-05-14
