activity_date,customer_id,product_id,sevc_id,action,yrmoda
2025-03-24,ENTID_12629322,JP_708127-420004,a30VS000007K873YAC,Delivered,2025-03-24
2025-05-18,ENTID_12629322,JP_708127-420004,a30VS000007K873YAC,Opened,2025-05-18
2025-04-03,ENTID_12629322,JP_708127-420004,a30VS000007XTaHYAW,Delivered,2025-04-03
2025-04-05,ENTID_12629322,JP_708127-420004,a30VS000007XTaHYAW,Opened,2025-04-05
2025-04-15,ENTID_12629322,JP_708127-420004,a30VS000007kjAzYAI,Delivered,2025-04-15
2025-04-19,ENTID_12629322,JP_708127-420004,a30VS000007kjAzYAI,Opened,2025-04-19
2025-05-18,ENTID_12629322,JP_708127-420004,a30VS000008AuqkYAC,Clicked,2025-05-18
2025-05-13,ENTID_12629322,JP_708127-420004,a30VS000008AuqkYAC,Delivered,2025-05-13
2025-05-14,ENTID_12629322,JP_708127-420004,a30VS000008AuqkYAC,Opened,2025-05-14
2025-05-23,ENTID_12629322,JP_708127-420004,a30VS000008JdaYYAS,Clicked,2025-05-23
2025-05-22,ENTID_12629322,JP_708127-420004,a30VS000008JdaYYAS,Delivered,2025-05-22
2025-05-23,ENTID_12629322,JP_708127-420004,a30VS000008JdaYYAS,Opened,2025-05-23
2025-06-29,ENTID_12629322,JP_708127-420004,a30VS000008oXQnYAM,Clicked,2025-06-29
2025-06-25,ENTID_12629322,JP_708127-420004,a30VS000008oXQnYAM,Delivered,2025-06-25
2025-06-26,ENTID_12629322,JP_708127-420004,a30VS000008oXQnYAM,Opened,2025-06-26
2025-06-29,ENTID_12629322,JP_708127-420004,a30VS000008oXnNYAU,Clicked,2025-06-29
2025-06-25,ENTID_12629322,JP_708127-420004,a30VS000008oXnNYAU,Delivered,2025-06-25
2025-06-26,ENTID_12629322,JP_708127-420004,a30VS000008oXnNYAU,Opened,2025-06-26
2025-07-15,ENTID_12629322,JP_708127-420004,a30VS0000095fVBYAY,Delivered,2025-07-15
2025-07-15,ENTID_12629322,JP_708127-420004,a30VS0000095fVBYAY,Opened,2025-07-15
2025-08-04,ENTID_12629322,JP_708127-420004,a30VS000009PAbiYAG,Delivered,2025-08-04
2025-08-05,ENTID_12629322,JP_708127-420004,a30VS000009PAbiYAG,Opened,2025-08-05
2025-08-26,ENTID_12629322,JP_708127-420004,a30VS000009ibbOYAQ,Delivered,2025-08-26
2025-08-26,ENTID_12629322,JP_708127-420004,a30VS000009ibbOYAQ,Opened,2025-08-26
2025-09-11,ENTID_12629322,JP_708127-420004,a30VS00000A0hwrYAB,Delivered,2025-09-11
2025-09-15,ENTID_12629322,JP_708127-420004,a30VS00000A0hwrYAB,Opened,2025-09-15
2025-10-05,ENTID_12629322,JP_708127-420004,a30VS00000AO2xNYAT,Delivered,2025-10-05
2025-10-06,ENTID_12629322,JP_708127-420004,a30VS00000AO2xNYAT,Opened,2025-10-06
