hco_cd,apims_id,YRMO,Sales,month_no
ENTID_13577678,708127,2025-10,609384.00000,m1
ENTID_95529076,708127,2025-10,609384.00000,m1
ENTID_19157178,708127,2025-10,761730.00000,m1
ENTID_14290930,708127,2025-10,355474.00000,m1
ENTID_13903375,708127,2025-10,406256.00000,m1
ENTID_14201441,708127,2025-10,0.00000,m1
ENTID_13895251,708127,2025-10,304692.00000,m1
ENTID_14290638,708127,2025-10,0.00000,m1
ENTID_13937688,708127,2025-10,1574242.00000,m1
ENTID_13822319,708127,2025-10,152346.00000,m1
ENTID_98559848,708127,2025-10,761730.00000,m1
ENTID_14125561,708127,2025-10,0.00000,m1
ENTID_105907728,708127,2025-10,0.00000,m1
ENTID_13741746,708127,2025-10,0.00000,m1
ENTID_13585665,708127,2025-10,1726588.00000,m1
ENTID_13759224,708127,2025-10,0.00000,m1
ENTID_14099242,708127,2025-10,203128.00000,m1
ENTID_13755517,708127,2025-10,964858.00000,m1
ENTID_14153249,708127,2025-10,304692.00000,m1
ENTID_14236468,708127,2025-10,0.00000,m1
ENTID_128319082,708127,2025-10,355474.00000,m1
ENTID_14411061,708127,2025-10,0.00000,m1
ENTID_14244253,708127,2025-10,0.00000,m1
ENTID_14046335,708127,2025-10,1371114.00000,m1
ENTID_14127302,708127,2025-10,101564.00000,m1
ENTID_14120823,708127,2025-10,203128.00000,m1
ENTID_14203306,708127,2025-10,50782.00000,m1
ENTID_13670324,708127,2025-10,457038.00000,m1
ENTID_13715615,708127,2025-10,914076.00000,m1
ENTID_14283210,708127,2025-10,761730.00000,m1
ENTID_14086131,708127,2025-10,304692.00000,m1
ENTID_13934952,708127,2025-10,304692.00000,m1
ENTID_13848927,708127,2025-10,609384.00000,m1
ENTID_13992731,708127,2025-10,914076.00000,m1
ENTID_13926610,708127,2025-10,50782.00000,m1
ENTID_14142310,708127,2025-10,914076.00000,m1
ENTID_13905849,708127,2025-10,710948.00000,m1
ENTID_13566330,708127,2025-10,0.00000,m1
ENTID_94006128,708127,2025-10,0.00000,m1
ENTID_110166502,708127,2025-10,1625024.00000,m1
ENTID_13755719,708127,2025-10,152346.00000,m1
ENTID_14045519,708127,2025-10,0.00000,m1
ENTID_13487537,708127,2025-10,0.00000,m1
ENTID_13823628,708127,2025-10,0.00000,m1
ENTID_13563970,708127,2025-10,253910.00000,m1
ENTID_13731876,708127,2025-10,0.00000,m1
ENTID_13741187,708127,2025-10,812512.00000,m1
ENTID_14141298,708127,2025-10,304692.00000,m1
ENTID_14098101,708127,2025-10,355474.00000,m1
ENTID_14138836,708127,2025-10,203128.00000,m1
ENTID_13991783,708127,2025-10,1015640.00000,m1
ENTID_14139420,708127,2025-10,1066422.00000,m1
ENTID_46318685,708127,2025-10,0.00000,m1
ENTID_14403752,708127,2025-10,4214906.00000,m1
ENTID_14073484,708127,2025-10,0.00000,m1
ENTID_13617700,708127,2025-10,0.00000,m1
ENTID_14266900,708127,2025-10,152346.00000,m1
ENTID_13701093,708127,2025-10,4164124.00000,m1
ENTID_13974300,708127,2025-10,0.00000,m1
ENTID_14088869,708127,2025-10,761730.00000,m1
ENTID_14073273,708127,2025-10,558602.00000,m1
ENTID_13673097,708127,2025-10,1371114.00000,m1
ENTID_13518433,708127,2025-10,1117204.00000,m1
ENTID_19191647,708127,2025-10,0.00000,m1
ENTID_14040684,708127,2025-10,152346.00000,m1
